Ref Des,Description,Package,Manufacturer,Manufacturer Part,Supplier,Supplier Part,Qty
U1,IC AVR MCU 16K 10MHZ 28DIP,28-DIP,AVR,ATMEGA168V-10PU,Digi-Key,ATMEGA168V-10PU-ND,1
"R1,2,5,6,7",RES 10K OHM 1/4W 5% CARBON FILM,Axial,Yageo,CFR-25JB-10K,Digi-Key,10KQBK-ND,5
"R3,8",RES 82K OHM 1/4W 5% CARBON FILM,Axial,Yageo,CFR-25JB-82K,Digi-Key,82KQBK-ND,2
"R4,9",POT 5K OHM 9MM HORZ NO BUSHING,9mm,Panasonic,EVU-E3AF25B53,Digi-Key,P3M3502-ND,2
"Q1,2,3,4",IC TRANS PNP SS GP 200MA,TO-92,Fairchild,2N3906BU,Digi-Key,2N3906FS-ND,4
"C1,2",CAP 18PF 50V CERAMIC C0G 5%,"Radial, 5.08mm, orange",Vishay/BC,K180J15C0GF5TH5,Digi-Key,BC1033CT-ND,2
"C3,4,6",CAP CER 100000PF 50V Y5V,"Radial, 5.0mm blue",Murata,RPEF51H104Z2K1A03B,Digi-Key,490-3859-ND,3
C5,CAP CER 10UF 10V Y5V RAD,"Radial, 5.0mm, blue, short leads",TDK,FK24Y5V1A106Z,Digi-Key,445-2868-ND,1
"S1,2,3",SWITCH TACT 6MM SPST PCB H=7.3MM,6mm,ITT/C&K,PTS645SJL73 LFS,Digi-Key,CKN9072-ND,3
X1,CRYSTAL 32.7680KHZ 12.5PF CYL,Epson,C-002RX 32.7680K-A:PBFREE,Digi-Key,SER3202-ND,1
,HOLDER BATT 2-AA CELLS WIRE LDS,2xAA,MPD,BC22AAW,Digi-Key,BC22AAW-ND,1
BAT,CONN PWR JACK RT ANG 1.3MM I.D.,,CUI,PJ-007,Digi-Key,CP-2519-ND,1
,CONN POWER PLUG 3.5MM X 1.3MM,,CUI,PP3-002D,Digi-Key,CP3-1003-ND,1
"H,M",100uA panel meter,,GME,PM89 100uA,GME,PM89-D100UA,2
,PCB,,Advanced Circuits,,,pm2v-2.01,1
BAT/USB,"CONN HEADER 50POS .100"" SGL GOLD",,Samtec,TSW-150-07-L-S,Digi-Key,SAM1031-50-ND,
JUMPER,CONN JUMPER SHORTING GOLD FLASH,,Sullins,SPC02SYAN,Digi-Key,S9001-ND,1
SERIAL,"CONN HDR 50POS .100"" SNGL R/A",,Samtec,TSW-150-08-T-S-RA,Digi-Key,SAM1051-50-ND,
"R10,11",RES 0 OHM 1/4W 5% CARBON FILM,Axial,Stackpole,CD 1/4 0 R,Digi-Key,CD1/40RCT-ND,2
"D1,2,3,4,5",LED 5MM COOL WHITE CLEAR 110DEG,Radial,Cree,C535A-WJN-CU0V0231,Digi-Key,C535A-WJN-CU0V0231-ND,2
ISP,CONN HDR BRKWAY .100 80POS VERT,,Tyco,4-103777-0,Digi-Key,A26525-40-ND,
